digits,n_prefix,p_min,p_min_digits,attempts,sieve_elim_pct,time_ms
100,64943094943038965436,127,3,23,98.3,1.323
100,87216141010187858165,13,2,6,0.0,0.200
100,56947818721850569636,53,2,16,0.0,0.228
100,65236763412585298321,569,3,42,99.2,1.587
100,86701252903030501052,1549,4,71,98.1,2.144
100,61816943670705832105,239,3,41,98.8,1.586
100,78989450581852563430,1613,4,56,99.1,4.915
100,57052589654969452989,1181,4,76,98.2,4.966
100,30785076927290107018,2179,4,75,98.4,2.413
100,89452763252169238129,29,2,10,0.0,0.274
100,58547458909052127014,601,3,61,98.1,1.871
100,93852385438147858347,61,2,18,0.0,0.215
100,70303854323098505476,617,3,54,99.2,4.165
100,53430729872923076785,421,3,48,99.2,2.916
100,98349050729818185854,3169,4,60,99.0,2.031
100,37656909290583670789,163,3,41,98.3,1.657
100,56543810123412543250,191,3,23,98.0,1.591
100,47070523014389412761,1483,4,55,98.8,1.969
100,18145054129814349054,853,3,56,98.8,2.154
100,79274385032567670183,37,2,12,0.0,0.319
100,52581492585816525438,467,3,57,99.0,3.429
100,55696363432903092709,293,3,45,99.1,2.008
100,98383696549296969030,41,2,13,0.0,0.405
100,97834103870527854125,223,3,50,98.0,2.175
100,38561816169272387638,743,3,53,97.9,1.798
100,11074347250529056365,349,3,35,98.8,1.935
100,74525898781236147872,521,3,53,98.3,2.046
100,63250323436961092387,677,3,38,99.2,1.953
100,44141210321292969432,439,3,72,98.8,2.274
100,29032967218523694945,1499,4,54,99.2,1.611
100,90523032121030103854,101,3,23,97.7,1.530
100,15298929030527476949,163,3,23,98.9,1.309
100,20727030985454161094,1613,4,57,99.1,1.723
